title,start,end,location,detail
47th Simposio de la Asociación Española de Economía (SAEe),2022-12-15,2022-12-17,"Valencia, Spain",
Society of Economics of the Household (SEHO) meeting,2023-06-06,2023-06-08,"Copenhagen, Denmark",
